seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
chr1	5019521	5019707	187	*	Promoter (<=1kb)	1	4909576	5019539	109964	2	ENSMUSG00000002459.17	ENSMUST00000002533.14	0
chr1	9578680	9578882	203	*	Intron (ENSMUST00000190654.1/ENSMUSG00000025911.14, intron 14 of 14)	1	9548119	9580673	32555	1	ENSMUSG00000025911.14	ENSMUST00000190654.1	30561
chr1	9630036	9630377	342	*	Promoter (<=1kb)	1	9560832	9631092	70261	2	ENSMUSG00000079671.8	ENSMUST00000115480.7	715
chr1	10039761	10040322	562	*	Promoter (<=1kb)	1	10039767	10058872	19106	1	ENSMUSG00000056763.16	ENSMUST00000191521.6	0
chr1	10510799	10510990	192	*	Intron (ENSMUST00000153695.7/ENSMUSG00000042501.12, intron 2 of 9)	1	10324720	10719945	395226	2	ENSMUSG00000042501.12	ENSMUST00000153695.7	208955
chr1	13187977	13189350	1374	*	Intron (ENSMUST00000081713.10/ENSMUSG00000005886.14, intron 5 of 21)	1	13139105	13372439	233335	2	ENSMUSG00000005886.14	ENSMUST00000081713.10	183089
chr1	13195420	13197023	1604	*	Intron (ENSMUST00000081713.10/ENSMUSG00000005886.14, intron 4 of 21)	1	13139105	13372439	233335	2	ENSMUSG00000005886.14	ENSMUST00000081713.10	175416
chr1	13299166	13299442	277	*	Intron (ENSMUST00000081713.10/ENSMUSG00000005886.14, intron 1 of 21)	1	13139105	13372439	233335	2	ENSMUSG00000005886.14	ENSMUST00000081713.10	72997
chr1	13372053	13372244	192	*	Promoter (<=1kb)	1	13139105	13372439	233335	2	ENSMUSG00000005886.14	ENSMUST00000081713.10	195
chr1	15286029	15286178	150	*	Promoter (1-2kb)	1	15287254	15712548	425295	1	ENSMUSG00000092083.4	ENSMUST00000175681.2	-1076
chr1	20906720	20906906	187	*	Intron (ENSMUST00000189400.6/ENSMUSG00000025931.15, intron 1 of 2)	1	20890606	20939650	49045	1	ENSMUSG00000025931.15	ENSMUST00000189400.6	16114
chr1	21076303	21076471	169	*	Promoter (2-3kb)	1	20996299	21079229	82931	2	ENSMUSG00000041779.5	ENSMUST00000037998.5	2758
chr1	22615130	22615379	250	*	Intron (ENSMUST00000081544.12/ENSMUSG00000041670.17, intron 3 of 31)	1	22286251	22805724	519474	2	ENSMUSG00000041670.17	ENSMUST00000081544.12	190345
chr1	22759462	22759839	378	*	Intron (ENSMUST00000081544.12/ENSMUSG00000041670.17, intron 1 of 31)	1	22286251	22805724	519474	2	ENSMUSG00000041670.17	ENSMUST00000081544.12	45885
chr1	23256491	23257224	734	*	Promoter (<=1kb)	1	23255685	23256407	723	2	ENSMUSG00000102766.1	ENSMUST00000193885.1	-84
chr1	23382743	23383036	294	*	Promoter (<=1kb)	1	23366424	23383175	16752	2	ENSMUSG00000026158.11	ENSMUST00000027343.5	139
chr1	24452367	24453388	1022	*	Promoter (<=1kb)	1	24261890	24452745	190856	2	ENSMUSG00000026141.13	ENSMUST00000144297.1	0
chr1	25826644	25826846	203	*	Promoter (<=1kb)	1	25067678	25826760	759083	2	ENSMUSG00000033569.17	ENSMUST00000041838.6	0
chr1	33494042	33495212	1171	*	Intron (ENSMUST00000027312.10/ENSMUSG00000026134.11, intron 10 of 13)	1	33453810	33669795	215986	2	ENSMUSG00000026134.11	ENSMUST00000027312.10	174583
chr1	34011889	34012073	185	*	Exon (ENSMUST00000097786.9/ENSMUSG00000026131.20, exon 1 of 93)	1	33908225	34307592	399368	1	ENSMUSG00000026131.20	ENSMUST00000183034.4	103664
chr1	36939073	36939927	855	*	Promoter (<=1kb)	1	36792191	36939527	147337	2	ENSMUSG00000026116.11	ENSMUST00000027290.11	0
chr1	37864548	37864716	169	*	Promoter (<=1kb)	1	37754776	37865079	110304	2	ENSMUSG00000060771.15	ENSMUST00000041815.14	363
chr1	38255760	38255987	228	*	Intron (ENSMUST00000095027.8/ENSMUSG00000037138.18, intron 9 of 21)	1	38177326	38627185	449860	2	ENSMUSG00000037138.18	ENSMUST00000095027.8	371198
chr1	38268144	38268660	517	*	Intron (ENSMUST00000095027.8/ENSMUSG00000037138.18, intron 9 of 21)	1	38177326	38627185	449860	2	ENSMUSG00000037138.18	ENSMUST00000095027.8	358525
chr1	38627224	38627470	247	*	5' UTR	1	38177327	38664955	487629	2	ENSMUSG00000037138.18	ENSMUST00000039827.13	37485
chr1	38988469	38988774	306	*	Promoter (2-3kb)	1	38985608	38997238	11631	1	ENSMUSG00000026078.10	ENSMUST00000027247.10	2861
chr1	39368867	39369047	181	*	Promoter (1-2kb)	1	39367842	39371911	4070	1	ENSMUSG00000073702.11	ENSMUST00000086535.11	1025
chr1	39942680	39942992	313	*	Intron (ENSMUST00000163854.8/ENSMUSG00000026074.15, intron 2 of 30)	1	39900913	40026310	125398	1	ENSMUSG00000026074.15	ENSMUST00000163854.8	41767
chr1	40789384	40789563	180	*	Promoter (1-2kb)	1	40772038	40790663	18626	2	ENSMUSG00000041945.12	ENSMUST00000039672.5	1100
chr1	42691522	42691778	257	*	Intron (ENSMUST00000181660.7/ENSMUSG00000060424.14, intron 1 of 3)	1	42590782	42694808	104027	2	ENSMUSG00000060424.14	ENSMUST00000181660.7	3030
chr1	42699298	42699541	244	*	3' UTR	1	42694925	42703176	8252	1	ENSMUSG00000045515.4	ENSMUST00000239323.1	4373
chr1	42700867	42701917	1051	*	3' UTR	1	42694925	42703176	8252	1	ENSMUSG00000045515.4	ENSMUST00000239323.1	5942
chr1	42703343	42703772	430	*	Intron (ENSMUST00000199521.4/ENSMUSG00000093436.6, intron 1 of 1)	1	42694925	42740968	46044	1	ENSMUSG00000093436.6	ENSMUST00000199521.4	8418
chr1	42710734	42710953	220	*	Intron (ENSMUST00000199521.4/ENSMUSG00000093436.6, intron 1 of 1)	1	42694925	42740968	46044	1	ENSMUSG00000093436.6	ENSMUST00000199521.4	15809
chr1	43446267	43446433	167	*	Promoter (1-2kb)	1	43444579	43533632	89054	1	ENSMUSG00000066877.11	ENSMUST00000187435.6	1688
chr1	46852623	46852802	180	*	Promoter (1-2kb)	1	46807544	46854046	46503	2	ENSMUSG00000025986.6	ENSMUST00000027131.5	1244
chr1	52898212	52898579	368	*	Intron (ENSMUST00000159352.7/ENSMUSG00000041426.12, intron 7 of 11)	1	52845013	52920981	75969	1	ENSMUSG00000041426.12	ENSMUST00000159352.7	53199
chr1	53004670	53005908	1239	*	Intron (ENSMUST00000191441.1/ENSMUSG00000043629.12, intron 1 of 1)	1	52925183	53020179	94997	2	ENSMUSG00000043629.12	ENSMUST00000191441.1	14271
